datetime,open,high,low,close,volume
2023-12-08 13:25:00,16458.0,16468.0,16427.0,16433.0,1034
2023-12-08 13:30:00,16431.0,16433.0,16409.0,16421.0,787
2023-12-08 13:35:00,16419.0,16426.0,16405.0,16415.0,576
2023-12-08 13:40:00,16412.0,16414.0,16383.0,16398.0,906
2023-12-08 13:45:00,16398.0,16422.0,16389.0,16418.0,592
2023-12-08 13:50:00,16419.0,16424.0,16399.0,16410.0,445
2023-12-08 13:55:00,16409.0,16425.0,16404.0,16415.0,328
2023-12-08 14:00:00,16412.0,16418.0,16400.0,16411.0,301
2023-12-08 14:05:00,16410.0,16420.0,16397.0,16411.0,403
2023-12-08 14:10:00,16408.0,16419.0,16393.0,16403.0,387
2023-12-08 14:15:00,16402.0,16402.0,16385.0,16386.0,371
2023-12-08 14:20:00,16387.0,16396.0,16376.0,16396.0,567
2023-12-08 14:25:00,16393.0,16402.0,16386.0,16394.0,297
2023-12-08 14:30:00,16390.0,16397.0,16370.0,16378.0,415
2023-12-08 14:35:00,16378.0,16382.0,16353.0,16360.0,772
2023-12-08 14:40:00,16358.0,16374.0,16355.0,16371.0,467
2023-12-08 14:45:00,16370.0,16380.0,16365.0,16370.0,356
2023-12-08 14:50:00,16370.0,16377.0,16361.0,16372.0,245
2023-12-08 14:55:00,16368.0,16377.0,16363.0,16372.0,230
2023-12-08 15:00:00,16372.0,16372.0,16353.0,16366.0,278
2023-12-08 15:05:00,16367.0,16367.0,16338.0,16339.0,710
2023-12-08 15:10:00,16339.0,16351.0,16333.0,16349.0,466
2023-12-08 15:15:00,16347.0,16365.0,16345.0,16362.0,419
2023-12-08 15:20:00,16361.0,16366.0,16352.0,16354.0,278
2023-12-08 15:25:00,16353.0,16367.0,16350.0,16361.0,248
2023-12-08 15:30:00,16360.0,16366.0,16344.0,16350.0,400
2023-12-08 15:35:00,16350.0,16368.0,16349.0,16355.0,280
2023-12-08 15:40:00,16354.0,16365.0,16349.0,16354.0,177
2023-12-08 15:45:00,16353.0,16373.0,16350.0,16373.0,316
2023-12-08 15:50:00,16372.0,16374.0,16342.0,16342.0,405
2023-12-08 15:55:00,16344.0,16355.0,16343.0,16349.0,247
2023-12-08 16:00:00,16349.0,16358.0,16345.0,16358.0,293
2023-12-08 16:05:00,16358.0,16366.0,16344.0,16357.0,394
2023-12-08 16:10:00,16354.0,16371.0,16344.0,16348.0,453
2023-12-08 16:15:00,16346.0,16361.0,16338.0,16357.0,419
2023-12-08 16:20:00,16358.0,16364.0,16350.0,16364.0,287
2023-12-08 16:25:00,16365.0,16365.0,16343.0,16343.0,230
2023-12-08 16:30:00,16343.0,16360.0,16341.0,16356.0,336
2023-12-08 17:20:00,16368.0,16397.0,16363.0,16394.0,432
2023-12-08 17:25:00,16394.0,16394.0,16382.0,16390.0,85
2023-12-08 17:30:00,16390.0,16392.0,16380.0,16380.0,63
2023-12-08 17:35:00,16383.0,16388.0,16380.0,16385.0,42
2023-12-08 17:40:00,16385.0,16388.0,16385.0,16388.0,24
2023-12-08 17:45:00,16385.0,16388.0,16375.0,16380.0,64
2023-12-08 17:50:00,16382.0,16387.0,16382.0,16384.0,41
2023-12-08 17:55:00,16383.0,16391.0,16381.0,16388.0,43
2023-12-08 18:00:00,16388.0,16388.0,16384.0,16386.0,26
2023-12-08 18:05:00,16387.0,16395.0,16387.0,16391.0,62
2023-12-08 18:10:00,16391.0,16393.0,16383.0,16384.0,23
2023-12-08 18:15:00,16385.0,16410.0,16385.0,16408.0,189
2023-12-08 18:20:00,16409.0,16412.0,16403.0,16405.0,83
2023-12-08 18:25:00,16406.0,16414.0,16404.0,16413.0,45
2023-12-08 18:30:00,16414.0,16415.0,16405.0,16406.0,79
2023-12-08 18:35:00,16404.0,16408.0,16401.0,16405.0,86
2023-12-08 18:40:00,16405.0,16405.0,16393.0,16395.0,96
2023-12-08 18:45:00,16396.0,16422.0,16393.0,16402.0,279
2023-12-08 18:50:00,16405.0,16405.0,16394.0,16396.0,44
2023-12-08 18:55:00,16394.0,16396.0,16387.0,16395.0,62
2023-12-08 19:00:00,16395.0,16399.0,16392.0,16395.0,35
2023-12-08 19:05:00,16393.0,16398.0,16392.0,16395.0,35
2023-12-08 19:10:00,16399.0,16399.0,16397.0,16397.0,23
2023-12-08 19:15:00,16400.0,16408.0,16400.0,16407.0,45
2023-12-08 19:20:00,16407.0,16411.0,16403.0,16403.0,37
2023-12-08 19:25:00,16402.0,16406.0,16401.0,16402.0,23
2023-12-08 19:30:00,16401.0,16402.0,16397.0,16402.0,21
2023-12-08 19:35:00,16402.0,16402.0,16400.0,16402.0,9
2023-12-08 19:40:00,16401.0,16401.0,16382.0,16384.0,78
2023-12-08 19:45:00,16385.0,16386.0,16376.0,16378.0,81
2023-12-08 19:50:00,16378.0,16384.0,16374.0,16379.0,64
2023-12-08 19:55:00,16379.0,16381.0,16374.0,16375.0,36
2023-12-08 20:00:00,16376.0,16379.0,16372.0,16374.0,51
2023-12-08 20:05:00,16375.0,16379.0,16370.0,16370.0,55
2023-12-08 20:10:00,16372.0,16379.0,16371.0,16377.0,29
2023-12-08 20:15:00,16377.0,16380.0,16372.0,16372.0,34
2023-12-08 20:20:00,16372.0,16382.0,16371.0,16379.0,33
2023-12-08 20:25:00,16383.0,16386.0,16378.0,16382.0,68
2023-12-08 20:30:00,16381.0,16382.0,16376.0,16381.0,29
